"Label Name","Catalog #",UPC,"Release Name","Release Version","Release Artist","Release Date","Release Genre","Release Subgenre",Track,ISRC,"Song Name","Mix Version","Primary Artists","Featuring Artists",Remixers,"Track Length","Song Genre","Song Subgenre"
"Build It Records",BLDR060,811868766102,"Build It Records: The Collection, Vol. 2",,"Various Artists",2015-09-23,Dance,House,13,USLZJ1548855,"Let's Get It",,Den5ity,,,04:30,Dance,House
"Build It Records",BLDR060,811868766102,"Build It Records: The Collection, Vol. 2",,"Various Artists",2015-09-23,Dance,House,14,USLZJ1548856,"Hold Me",,"Chris Skapetis",,,05:25,Dance,House
"Build It Records",BLDR060,811868766102,"Build It Records: The Collection, Vol. 2",,"Various Artists",2015-09-23,Dance,House,15,USLZJ1548858,"The Light",,"Gruv1,Mesler",,,06:26,Dance,House
"Build It Records",BLDR056,811868755694,"A New Beginning EP",,"Mij Mack",2015-09-21,Dance,"Tech House",1,USLZJ1545618,Saturday,,"Mij Mack",,,04:11,Dance,"Tech House"
"Build It Records",BLDR056,811868755694,"A New Beginning EP",,"Mij Mack",2015-09-21,Dance,"Tech House",2,USLZJ1545620,S.O.S.,,"Mij Mack",,,04:55,Dance,"Tech House"
"Build It Records",BLDR056,811868755694,"A New Beginning EP",,"Mij Mack",2015-09-21,Dance,"Tech House",3,USLZJ1545621,"Move On",,"Mij Mack",,,05:27,Dance,House
"Build It Records",BLDR055,811868749365,"Don't You Know Remixes",,Burkie,2015-09-14,Dance,House,1,USLZJ1543638,"Don't You Know","Fractal System Remix",Burkie,,"Fractal System",05:40,Dance,House
"Build It Records",BLDR055,811868749365,"Don't You Know Remixes",,Burkie,2015-09-14,Dance,House,2,USLZJ1543639,"Don't You Know","Moustache Remix",Burkie,,Moustache,04:42,Dance,"Deep House"
"Build It Records",BLDR055,811868749365,"Don't You Know Remixes",,Burkie,2015-09-14,Dance,House,3,USLZJ1543640,"Don't You Know","Jeromy Nail Remix",Burkie,,"Jeromy Nail",06:17,Dance,House
"Build It Records",BLDR055,811868749365,"Don't You Know Remixes",,Burkie,2015-09-14,Dance,House,4,USLZJ1543641,"Don't You Know","Mike Kelly SA Remix",Burkie,,"Mike Kelly (SA)",05:32,Dance,"Deep House"
"Build It Records",BLDR055,811868749365,"Don't You Know Remixes",,Burkie,2015-09-14,Dance,House,5,USLZJ1543642,"Don't You Know",,Burkie,,,05:50,Dance,House
"Build It Records",BLDR054,811868739458,Higher,,I.N.H.,2015-09-07,Dance,House,1,USLZJ1540818,Higher,,I.N.H.,,,04:38,Dance,House
"Build It Records",BLDR053,811868738239,"Houston Funk EP",,"Nina Wilde",2015-08-31,Dance,House,1,USLZJ1540485,"Houston (feat. Faceless)",,"Nina Wilde",Faceless,,04:32,Dance,House
"Build It Records",BLDR053,811868738239,"Houston Funk EP",,"Nina Wilde",2015-08-31,Dance,House,2,USLZJ1540487,"Wanna Funk",,"Nina Wilde,Tom Finn",,,04:53,Dance,"Tech House"
"Build It Records",BLDR053,811868738239,"Houston Funk EP",,"Nina Wilde",2015-08-31,Dance,House,3,USLZJ1540488,"Tomorrow (feat. Unique The Vision)",,"Nina Wilde,Little Ant","Unique The Vision",,05:14,Dance,House
"Build It Records",BLDR052,811868731865,"Who's Got Your Love / Solstice",,HYVE,2015-08-24,Dance,House,1,USLZJ1538747,"Who's Got Your Love",,HYVE,,,04:27,Dance,House
"Build It Records",BLDR052,811868731865,"Who's Got Your Love / Solstice",,HYVE,2015-08-24,Dance,House,2,USLZJ1538748,Solstice,,HYVE,,,04:26,Dance,House
"Build It Records",BLDR051,811868726502,"Format / To The Limit And Beyond",,"Rob Me",2015-08-17,Dance,House,1,USLZJ1536973,Format,,"Rob Me",,,06:50,Dance,House
"Build It Records",BLDR051,811868726502,"Format / To The Limit And Beyond",,"Rob Me",2015-08-17,Dance,House,2,USLZJ1536974,"To The Limit And Beyond",,"Rob Me",,,07:32,Dance,House
"Build It Records",BLDR049,811868722191,"Devotion / Respect",,Somersault,2015-08-10,Dance,"Tech House",1,USLZJ1535809,Devotion,,Somersault,,,06:31,Dance,"Tech House"
"Build It Records",BLDR049,811868722191,"Devotion / Respect",,Somersault,2015-08-10,Dance,"Tech House",2,USLZJ1535810,Respect,,Somersault,,,06:13,Dance,"Tech House"
"Build It Records",BLDR047,811868716442,Medusa,,"Smith & Anthony",2015-08-03,Dance,House,1,USLZJ1533957,Medusa,,"Smith & Anthony",,,05:25,Dance,House
